restaurant_id,restaurant_name,cuisine_type,restaurant_address,latitude,longitude,manhattan_region,restaurant_rating,review_count,price
oLA02lMIfgvbYquvXzkARw,Lillie's Victorian Establishment,American,"'249 W 49th St, New York, NY 10019'",40.7614625,-73.9860519,Midtown,4.0,1459,$$
Xu8H24NxJJxEE-9wGp_AMA,The Brazen Tavern,American,"'356 W 44th St, New York, NY 10036'",40.7593269348145,-73.9913101196289,Midtown,4.5,385,$$
fanlKZzN-fI9LywqQD6EHg,Broadstone Bar & Kitchen,American,"'88 Broad St, New York, NY 10004'",40.70411,-74.01186,Downtown,4.0,256,$$
eZvDr6twAgxx2CjfXV87Xw,Between the Bread,American,"'145 West 55th St, New York, NY 10019'",40.76394,-73.98005,Midtown,4.0,83,$$
pfmAcS-g6SiNG0KlLvrqnA,Beauty & Essex,American,"'146 Essex St, New York, NY 10002'",40.72037,-73.98677,Downtown,4.0,3502,$$$
QzKASdqNpVXkVUgb_uX43g,Horn’s Hook Tavern,American,"'1589 First Ave, New York, NY 10028'",40.774799,-73.95116,Uptown,5.0,16,
XAeGAF5MGr7P6A13SnXbjQ,Merchants River House,American,"'375 S End Ave, New York, NY 10280'",40.7112882252543,-74.0176175854584,Downtown,4.0,474,$$
eTR6nfHvQzvKX7Dcd6JrfA,District Social,American,"'252 W 37th St, New York, NY 10018'",40.7535743713379,-73.9914321899414,Midtown,4.0,706,$$
RemvTpxalDjSew5HwmNzUQ,The Dead Rabbit,American,"'30 Water St, New York, NY 10004'",40.70329,-74.01102,Downtown,4.0,1568,$$
5K0b-fEk96xUJCV_5ytNog,Contra,American,"'138 Orchard St, New York, NY 10002'",40.719878,-73.989063,Downtown,4.0,323,$$$$
UXVDyIzmO5kmJnlv-HDXLg,Cafeteria,American,"'119 7th Ave, New York, NY 10011'",40.740567590122,-73.9980747946,Midtown,3.5,3333,$$
qOp4T7UxfL6MgO41dN3Qlg,Whitman's,American,"'406 E 9th St, New York, NY 10009'",40.727942,-73.984469,Downtown,4.0,627,$$
G1PS0kMwepei5h29ZbRo_A,Biggie's Cafe,American,"'79 Clinton St, New York, NY 10002'",40.718911,-73.985268,Downtown,5.0,1,
SWK0AQ5KTDDCt8AtOhhasg,Malibu Farm,American,"'89 S St, New York, NY 10038'",40.705925,-74.001749,Downtown,3.5,90,$$
u-MUL83NUy2gsbV80WZnAA,The Marshal,American,"'628 10th Ave, New York, NY 10036'",40.76122,-73.99396,Midtown,4.0,739,$$$
U5hCNNyJmb7f3dmC1HTzSQ,Junior's Restaurant & Bakery - 45th St.,American,"'1515 Broadway, New York, NY 10036'",40.7582662685627,-73.98654,Midtown,4.0,4628,$$
tsiC3VpO-hZEb98Qk3p-DQ,Amy Ruth's,American,"'113 W 116th St, New York, NY 10026'",40.80248,-73.95038,Uptown,4.0,2632,$$
r-EDS_eO70HUgDmOk5_8Qw,Juniper Bar,American,"'237 W 35th St, New York, NY 10001'",40.752344,-73.9914045,Midtown,4.0,576,$$
BEYmqrP1_TC0nhnTGKkkJg,Ella Social,American,"'249 Columbus Ave, New York, NY 10023'",40.7769826,-73.9788067,Uptown,4.0,508,$$
T-ciFE0hc6O2JDY8Y1cDgg,Foxy Johns Bar & Kitchen,American,"'143 E 47th St, New York, NY 10017'",40.75445,-73.97274,Midtown,4.0,295,$$
stGcUKRbVS0H-Uv8DTVW4Q,The Factory 380,American,"'380 3rd Ave, New York, NY 10016'",40.74164,-73.98132,Midtown,4.5,75,$$
0Bm2vjJW5Fw7_Maer6kDUw,Melt Shop,American,"'135 W 50th St, New York, NY 10020'",40.760711,-73.9823111,Midtown,4.0,607,$$
_0WFGjXuenlBixOlbSlGeQ,Crown Shy,American,"'70 Pine St, New York, NY 10005'",40.7063449,-74.0076944,Downtown,4.5,281,
DW5SL9RM-kJnmRyYo4oEqg,Ruby's - Murray Hill,American,"'442 3rd Ave, New York, NY 10016'",40.74364,-73.97985,Midtown,4.0,491,$$
